season,pick,manager
2018,1,Mikey
2018,2,Matt
2018,3,JT
2018,4,Tyler
2018,5,
2018,6,
2018,7,Johnny
2018,8,David
2018,9,Tim
2018,10,Brian
2019,1,Matt
2019,2,JT
2019,3,Johnny
2019,4,Tim
2019,5,Mikey
2019,6,Jason
2019,7,Tyler
2019,8,David
2019,9,Brian
2019,10,Scott
2020,1,Matt
2020,2,Johnny
2020,3,Tyler
2020,4,David
2020,5,Mikey
2020,6,Brian
2020,7,JT
2020,8,Jason
2020,9,Scott
2020,10,Tim
2021,1,Scott
2021,2,David
2021,3,Tyler
2021,4,Matt
2021,5,Jason
2021,6,Johnny
2021,7,Tim
2021,8,JT
2021,9,Kevin
2021,10,Brian
2022,1,David
2022,2,Matt
2022,3,Johnny
2022,4,Tyler
2022,5,Tim
2022,6,Jason
2022,7,JT
2022,8,Scott
2022,9,Brian
2022,10,Kevin
2023,1,Johnny
2023,2,Tim
2023,3,Jason
2023,4,Tyler
2023,5,Kevin
2023,6,Brian
2023,7,David
2023,8,JT
2023,9,Scott
2023,10,Matt
2024,1,Scott
2024,2,David
2024,3,Kevin
2024,4,Tim
2024,5,Brian
2024,6,Johnny
2024,7,Jason
2024,8,JT
2024,9,Matt
2024,10,Tyler
2025,1,Matt
2025,2,Kevin
2025,3,Brian
2025,4,JT
2025,5,Jason
2025,6,Johnny
2025,7,Tim
2025,8,Scott
2025,9,David
2025,10,Tyler
2026,1,Jason
2026,2,JT
2026,3,Tyler
2026,4,Matt
2026,5,Johnny
2026,6,Brian
2026,7,Tim
2026,8,Kevin
2026,9,David
2026,10,Scott
