season,week,team_id,team_name,score,opp_id,opp_name,opp_score,outcome,is_playoff
2016,1,2,I have the tin chicken,88.0,10,ALL DAY Johnnys,71.0,W,False
2016,1,10,ALL DAY Johnnys,71.0,2,I have the tin chicken,88.0,L,False
2016,1,1,Tin Chicken Lives Matter,113.0,4,Prestige Worldwide,96.0,W,False
2016,1,4,Prestige Worldwide,96.0,1,Tin Chicken Lives Matter,113.0,L,False
2016,1,8,Shiver Me Tin Chickens,80.0,7,The NFL Team Owners,90.0,L,False
2016,1,7,The NFL Team Owners,90.0,8,Shiver Me Tin Chickens,80.0,W,False
2016,1,5,they got tin chken n philly?,120.0,3,Jet Fuel Can't Melt Tin Chickn,82.0,W,False
2016,1,3,Jet Fuel Can't Melt Tin Chickn,82.0,5,they got tin chken n philly?,120.0,L,False
2016,1,9,Parm Farty Tin Chickens,106.0,6,TINder Chicken Draft Date,111.0,L,False
2016,1,6,TINder Chicken Draft Date,111.0,9,Parm Farty Tin Chickens,106.0,W,False
2016,2,4,Prestige Worldwide,79.0,7,The NFL Team Owners,74.0,W,False
2016,2,7,The NFL Team Owners,74.0,4,Prestige Worldwide,79.0,L,False
2016,2,3,Jet Fuel Can't Melt Tin Chickn,140.0,2,I have the tin chicken,69.0,W,False
2016,2,2,I have the tin chicken,69.0,3,Jet Fuel Can't Melt Tin Chickn,140.0,L,False
2016,2,6,TINder Chicken Draft Date,112.0,10,ALL DAY Johnnys,76.0,W,False
2016,2,10,ALL DAY Johnnys,76.0,6,TINder Chicken Draft Date,112.0,L,False
2016,2,5,they got tin chken n philly?,94.0,1,Tin Chicken Lives Matter,72.0,W,False
2016,2,1,Tin Chicken Lives Matter,72.0,5,they got tin chken n philly?,94.0,L,False
2016,2,9,Parm Farty Tin Chickens,87.0,8,Shiver Me Tin Chickens,60.0,W,False
2016,2,8,Shiver Me Tin Chickens,60.0,9,Parm Farty Tin Chickens,87.0,L,False
2016,3,3,Jet Fuel Can't Melt Tin Chickn,81.0,6,TINder Chicken Draft Date,59.0,W,False
2016,3,6,TINder Chicken Draft Date,59.0,3,Jet Fuel Can't Melt Tin Chickn,81.0,L,False
2016,3,4,Prestige Worldwide,82.0,5,they got tin chken n philly?,124.0,L,False
2016,3,5,they got tin chken n philly?,124.0,4,Prestige Worldwide,82.0,W,False
2016,3,7,The NFL Team Owners,106.0,9,Parm Farty Tin Chickens,101.0,W,False
2016,3,9,Parm Farty Tin Chickens,101.0,7,The NFL Team Owners,106.0,L,False
2016,3,2,I have the tin chicken,86.0,1,Tin Chicken Lives Matter,102.0,L,False
2016,3,1,Tin Chicken Lives Matter,102.0,2,I have the tin chicken,86.0,W,False
2016,3,10,ALL DAY Johnnys,41.0,8,Shiver Me Tin Chickens,77.0,L,False
2016,3,8,Shiver Me Tin Chickens,77.0,10,ALL DAY Johnnys,41.0,W,False
2016,4,5,they got tin chken n philly?,80.0,9,Parm Farty Tin Chickens,68.0,W,False
2016,4,9,Parm Farty Tin Chickens,68.0,5,they got tin chken n philly?,80.0,L,False
2016,4,1,Tin Chicken Lives Matter,77.0,3,Jet Fuel Can't Melt Tin Chickn,88.0,L,False
2016,4,3,Jet Fuel Can't Melt Tin Chickn,88.0,1,Tin Chicken Lives Matter,77.0,W,False
2016,4,8,Shiver Me Tin Chickens,80.0,6,TINder Chicken Draft Date,91.0,L,False
2016,4,6,TINder Chicken Draft Date,91.0,8,Shiver Me Tin Chickens,80.0,W,False
2016,4,2,I have the tin chicken,91.0,4,Prestige Worldwide,78.0,W,False
2016,4,4,Prestige Worldwide,78.0,2,I have the tin chicken,91.0,L,False
2016,4,10,ALL DAY Johnnys,97.0,7,The NFL Team Owners,107.0,L,False
2016,4,7,The NFL Team Owners,107.0,10,ALL DAY Johnnys,97.0,W,False
