season,week,player_id,player_name,position,pro_team,points,receptions
2018,1,-16034,Texans D/ST,D/ST,HOU,7.0,0.0
2018,1,-16033,Ravens D/ST,D/ST,BAL,17.0,0.0
2018,1,-16030,Jaguars D/ST,D/ST,JAX,13.0,0.0
2018,1,-16029,Panthers D/ST,D/ST,CAR,13.0,0.0
2018,1,-16028,Redskins D/ST,D/ST,WSH,12.0,0.0
2018,1,-16027,Buccaneers D/ST,D/ST,TB,3.0,0.0
2018,1,-16026,Seahawks D/ST,D/ST,SEA,2.0,0.0
2018,1,-16025,49ers D/ST,D/ST,SF,5.0,0.0
2018,1,-16024,Chargers D/ST,D/ST,LAC,-3.0,0.0
2018,1,-16023,Steelers D/ST,D/ST,PIT,11.0,0.0
2018,1,-16022,Cardinals D/ST,D/ST,ARI,2.0,0.0
2018,1,-16021,Eagles D/ST,D/ST,PHI,11.0,0.0
2018,1,-16020,Jets D/ST,D/ST,NYJ,25.0,0.0
2018,1,-16019,Giants D/ST,D/ST,NYG,4.0,0.0
2018,1,-16018,Saints D/ST,D/ST,NO,-9.0,0.0
2018,1,-16017,Patriots D/ST,D/ST,NE,7.0,0.0
2018,1,-16016,Vikings D/ST,D/ST,MIN,18.0,0.0
2018,1,-16015,Dolphins D/ST,D/ST,MIA,12.0,0.0
2018,1,-16014,Rams D/ST,D/ST,LAR,15.0,0.0
2018,1,-16012,Chiefs D/ST,D/ST,KC,4.0,0.0
2018,1,-16011,Colts D/ST,D/ST,IND,5.0,0.0
2018,1,-16010,Titans D/ST,D/ST,TEN,11.0,0.0
2018,1,-16009,Packers D/ST,D/ST,GB,9.0,0.0
2018,1,-16008,Lions D/ST,D/ST,DET,9.0,0.0
2018,1,-16007,Broncos D/ST,D/ST,DEN,12.0,0.0
2018,1,-16006,Cowboys D/ST,D/ST,DAL,8.0,0.0
2018,1,-16005,Browns D/ST,D/ST,CLE,11.0,0.0
2018,1,-16004,Bengals D/ST,D/ST,CIN,11.0,0.0
2018,1,-16003,Bears D/ST,D/ST,CHI,13.0,0.0
2018,1,-16002,Bills D/ST,D/ST,BUF,-2.0,0.0
2018,1,-16001,Falcons D/ST,D/ST,ATL,8.0,0.0
2018,1,1097,Adam Vinatieri,K,IND,12.0,0.0
2018,1,2148,Sebastian Janikowski,K,SEA,5.0,0.0
2018,1,2330,Tom Brady,QB,NE,21.28,0.0
2018,1,2580,Drew Brees,QB,NO,31.56,0.0
2018,1,4333,Matt Bryant,K,ATL,8.0,0.0
2018,1,5528,Larry Fitzgerald,WR,ARI,7.6,7.0
2018,1,5529,Philip Rivers,QB,LAC,28.96,0.0
2018,1,5536,Ben Roethlisberger,QB,PIT,9.0,0.0
2018,1,5557,Benjamin Watson,TE,NO,4.4,4.0
2018,1,8416,Alex Smith,QB,WSH,19.6,0.0
2018,1,8439,Aaron Rodgers,QB,GB,24.94,0.0
2018,1,8479,Frank Gore,RB,MIA,6.1,0.0
2018,1,8544,Darren Sproles,RB,PHI,3.2,4.0
2018,1,8664,Ryan Fitzpatrick,QB,TB,42.28,0.0
2018,1,9354,Robbie Gould,K,SF,11.0,0.0
2018,1,9704,Stephen Gostkowski,K,NE,9.0,0.0
2018,1,9761,Delanie Walker,TE,TEN,5.2,4.0
2018,1,10452,Adrian Peterson,RB,WSH,20.6,2.0
2018,1,10453,Ted Ginn Jr.,WR,NO,15.3,5.0
2018,1,10456,Marshawn Lynch,RB,LV,10.9,2.0
2018,1,10475,Greg Olsen,TE,CAR,3.3,2.0
2018,1,10636,Mason Crosby,K,GB,7.0,0.0
2018,1,11122,Matt Prater,K,DET,3.0,0.0
2018,1,11237,Matt Ryan,QB,ATL,8.84,0.0
2018,1,11252,Joe Flacco,QB,BAL,21.74,0.0
2018,1,11270,Jordy Nelson,WR,LV,2.3,3.0
2018,1,11283,DeSean Jackson,WR,TB,26.6,5.0
2018,1,11439,Pierre Garcon,WR,SF,2.1,2.0
2018,1,11674,Danny Amendola,WR,MIA,2.6,4.0
2018,1,12460,Graham Gano,K,CAR,4.0,0.0
2018,1,12483,Matthew Stafford,QB,DET,8.04,0.0
2018,1,12514,LeSean McCoy,RB,BUF,2.1,1.0
2018,1,12537,Jared Cook,TE,LV,18.0,9.0
2018,1,12563,Michael Crabtree,WR,BAL,9.8,3.0
2018,1,12649,Julian Edelman,WR,NE,0.0,0.0
2018,1,12731,Ryan Succop,K,TEN,11.0,0.0
2018,1,13213,LeGarrette Blount,RB,DET,-0.3,0.0
2018,1,13216,Demaryius Thomas,WR,HOU,12.3,6.0
2018,1,13217,Golden Tate,WR,PHI,13.9,7.0
2018,1,13229,Rob Gronkowski,TE,NE,16.3,7.0
2018,1,13232,Jimmy Graham,TE,GB,0.8,2.0
2018,1,13295,Emmanuel Sanders,WR,DEN,19.5,10.0
2018,1,13587,Chris Ivory,RB,BUF,0.3,0.0
2018,1,13934,Antonio Brown,WR,PIT,15.3,9.0
2018,1,13981,Mark Ingram II,RB,NO,0.0,0.0
2018,1,13982,Julio Jones,WR,ATL,18.0,10.0
2018,1,13983,A.J. Green,WR,CIN,13.2,6.0
2018,1,13994,Cam Newton,QB,CAR,18.24,0.0
2018,1,14012,Andy Dalton,QB,CIN,16.52,0.0
2018,1,14053,Randall Cobb,WR,GB,20.2,9.0
2018,1,14054,Kyle Rudolph,TE,MIN,7.1,1.0
2018,1,14129,Bilal Powell,RB,NYJ,6.5,1.0
2018,1,14145,Charles Clay,TE,BUF,0.0,0.0
2018,1,14163,Tyrod Taylor,QB,CLE,23.58,0.0
2018,1,14198,Dion Lewis,RB,TEN,17.0,5.0
2018,1,14221,Doug Baldwin,WR,SEA,0.0,0.0
2018,1,14402,Chris Hogan,WR,NE,1.1,1.0
2018,1,14874,Andrew Luck,QB,IND,19.46,0.0
2018,1,14880,Kirk Cousins,QB,MIN,20.36,0.0
2018,1,14881,Russell Wilson,QB,SEA,20.42,0.0
2018,1,14885,Doug Martin,RB,LV,1.7,2.0
2018,1,14886,Lamar Miller,RB,HOU,10.9,1.0
2018,1,14912,Alshon Jeffery,WR,PHI,0.0,0.0
2018,1,14922,Mohamed Sanu,WR,ATL,1.8,4.0
2018,1,14924,T.Y. Hilton,WR,IND,10.6,5.0
2018,1,14993,Greg Zuerlein,K,LAR,16.0,0.0
2018,1,15009,Alfred Morris,RB,SF,1.8,0.0
2018,1,15072,Marvin Jones Jr.,WR,DET,5.4,4.0
2018,1,15428,Jermaine Kearse,WR,NYJ,0.0,0.0
2018,1,15683,Justin Tucker,K,BAL,12.0,0.0
2018,1,15705,Josh Gordon,WR,NE,7.7,1.0
2018,1,15788,Tyler Eifert,TE,CIN,4.4,3.0
2018,1,15795,DeAndre Hopkins,WR,HOU,7.1,8.0
2018,1,15807,Cordarrelle Patterson,RB,NE,1.9,1.0
