season,team_id,team_name,wins,losses,ties,points_for,points_against,final_standing,playoff_pct,acquisitions,drops,trades,move_to_ir
2016,1,Tin Chicken Lives Matter,5,8,0,1179.0,1284.0,5,0,26,24,1,0
2016,2,I have the tin chicken,4,9,0,1018.0,1264.0,8,0,39,38,1,0
2016,3,Jet Fuel Can't Melt Tin Chickn,8,5,0,1279.0,1153.0,1,0,45,43,2,0
2016,4,Prestige Worldwide,4,9,0,1185.0,1290.0,6,0,6,6,0,0
2016,5,they got tin chken n philly?,12,1,0,1361.0,1017.0,2,0,12,12,0,0
2016,6,TINder Chicken Draft Date,6,5,2,1130.0,1163.0,7,0,14,14,0,0
2016,7,The NFL Team Owners,9,3,1,1266.0,1089.0,3,0,20,20,0,0
2016,8,Shiver Me Tin Chickens,4,9,0,995.0,1147.0,9,0,22,29,3,0
2016,9,Parm Farty Tin Chickens,7,6,0,1177.0,1105.0,4,0,11,12,1,0
2016,10,ALL DAY Johnnys,4,8,1,1136.0,1214.0,10,0,31,31,0,0
2017,1,Triple Crown Affirmed,4,8,0,1000.0,1117.0,9,0,35,35,0,0
2017,2,Honey Funches  Of Oats,4,8,0,1088.0,1074.0,7,0,33,32,10,0
2017,3,Jet Fuel Can't Melt Tin Chickn,8,4,0,1104.0,951.0,1,0,44,43,13,0
2017,4,Give me the hotdog baby,6,6,0,972.0,1083.0,6,0,4,4,1,0
2017,5,they got tin chken n philly?,7,5,0,1029.0,964.0,4,0,19,19,0,0
2017,6,Travis Kelce And the Boys,7,5,0,1031.0,1055.0,3,0,30,30,2,0
2017,7,Dontrelle Inman and the Necks,6,6,0,1049.0,1122.0,5,0,40,42,1,0
2017,8,Josh N Brian's Excellent Team,5,7,0,996.0,986.0,10,0,14,14,0,0
2017,9,On the 2nd Year He Ressurected,7,5,0,1165.0,1013.0,2,0,33,35,2,0
2017,10,ALL DAY Johnnys,6,6,0,986.0,1055.0,8,0,22,21,1,0
2018,1,Ice In My Veins,7,5,0,1217.68,1269.3,3,0,18,18,1,0
2018,2,UuHhhh myYyy gICEEE,7,5,0,1289.8,1117.5,4,0,53,51,3,0
2018,3,Jet Fuel Can't Evaporate Ice,5,7,0,1253.48,1357.52,7,0,43,41,5,0
2018,4,Give me the hotdog baby,5,7,0,1155.82,1128.34,10,0,7,7,2,0
2018,5,the iceman cometh,8,4,0,1318.94,1149.06,1,0,19,19,0,0
2018,6,Travis Kelce And the Boys,5,7,0,1081.6,1208.66,9,0,9,10,1,0
2018,7,smirn office,6,6,0,1219.5,1236.14,5,0,11,11,0,0
